STATUS,AGENDA_DATE,ITEM_NUMBER,REQUEST_TYPE,POSTING_LANGUAGE,LEAD_DEPT,SUB-DEPTS,TAGS,ATTACHMENTS,ITEM_TYPE,CURRENT_STATUS,CURRENT_STATUS_UPDATED,PERSONAL_TAG
Closed,09/03/2020 12:00:00 AM,044,Resolution,"Approve a resolution expressing City Council's intent to include Key Performance
Indicators related to equity and displacement in a Performance Dashboard for
Project Connect implementation.",Housing,"Housing,Transportation and Public Works,Office of Equity and Inclusion","Equity,Transportation",http://austintexas.gov/department/city-council/2020/20200903-reg.htm#044,Item,"Memo sent to Mayor and Council July 17, 2024",03/20/2025 06:37:00 PM,
Closed,09/02/2021 12:00:00 AM,042,Resolution,"Approve a resolution amending Resolution No. 20071129-045 related to the City of
Austin Green Building Policy.",Economic Development Department,,Environment,https://www.austintexas.gov/department/city-council/2021/20210902-reg.htm#042,Item,"Memo sent to Mayor and Council February 9, 2023.",03/20/2025 06:40:03 PM,
Closed,11/04/2021 12:00:00 AM,064,Resolution,"Approve a resolution condemning antisemitic, racist, and homophobic vandalism,
violence and hateful speech, and directing the City Manager to collaborate with
local community groups to identify and implement improvements to the City's
response to hate.",Office of Equity and Inclusion,,"Equity,Education",http://austintexas.gov/department/city-council/2021/20211104-reg.htm#064,Item,"Memo sent to Mayor and Council March 14, 2024.",03/20/2025 06:41:24 PM,
Closed,03/03/2022 12:00:00 AM,028,Resolution,"Approve a resolution initiating amendments to City Code Title 25 (Land
Development) to address challenges to the design and construction of public
mobility and transit projects in the right-of-way.",Watershed Protection,,Transportation,https://www.austintexas.gov/department/city-council/2022/20220303-reg.htm#028,Item,"Responsive memo sent to Mayor and Council on March 31, 2025.",04/03/2025 02:47:45 PM,
Closed,03/03/2022 12:00:00 AM,061,Resolution,"Approve a resolution relating to comprehensive strategies and actions intended
to create a safer Sixth Street area; and relating to gun storage and buyback
programs.",Austin Police Department,,"Downtown,Public Safety,Culture,Local Business",https://www.austintexas.gov/department/city-council/2022/20220303-reg.htm#061,Item,"Memo sent to Mayor and Council June 12, 2023.",04/30/2025 02:42:54 PM,
Closed,05/05/2022 12:00:00 AM,033,Resolution,"Approve a resolution adopting amendments to the articles of incorporation and
certificate of formation of the Austin Transit Partnership to make changes
relating to the directors, membership, residency requirements as needed for the
board members, and updating the documents as directed by Council.",Project Connect Office,,Transportation,https://www.austintexas.gov/department/city-council/2022/20220505-reg.htm#033,Item,"Staff have confirmed that the amendments to the Articles of Incorporation were
accepted by the Office of the Secretary of State on Aug. 23, 2022. Regarding the
direction to evaluate expansion of the ATP Board, the partnership extensively
reviewed and considered the direction and consensus was reached to recommend no
changes to the board structure.",03/20/2025 06:44:08 PM,
Closed,06/09/2022 12:00:00 AM,069,Resolution,"Approve a resolution related to planning at a district level and initiating City
Code amendments.",Planning,"Planning,Transportation and Public Works","Zoning,Environment,Transportation",https://www.austintexas.gov/department/city-council/2022/20220609-reg.htm#069,Item,The close out memo has been uploaded and under Assistant City Manager review.,06/04/2025 03:40:24 PM,
Closed,06/16/2022 12:00:00 AM,087,Resolution,"Approve a resolution directing the City Manager to conduct a study of office
space occupancy rates at City facilities as a result of remote work schedules
and other changes in office space needs, and to provide recommendations to the
Council.",Financial Services,,Budget,https://www.austintexas.gov/department/city-council/2022/20220616-reg.htm#087,Item,,,
Closed,02/23/2023 12:00:00 AM,044,Resolution,"Approve a resolution regarding the I-35 Capital Express Projects, including
official comments from the City Council to the Texas Department of
Transportation on the draft Environmental Impact Statement for the I-35 Capital
Express Central Project.",Financial Services,,Transportation,https://www.austintexas.gov/department/city-council/2023/20230223-reg.htm#044,Item,,,
Closed,07/28/2022 12:00:00 AM,094,Resolution,"Approve a resolution relating to the creation of a live music venue bonus and
incentive program for new and existing venues and initiating amendments to City
Code.",Economic Development Department,"Development Services Department,Planning,Transportation and Public Works",Culture,https://www.austintexas.gov/department/city-council/2022/20220728-reg.htm#094,Item,"Final memo sent to Mayor and Council March 20, 2025.",04/03/2025 02:59:11 PM,
Closed,09/01/2022 12:00:00 AM,087,Resolution,"Approve a resolution directing the City Manager to conduct a stakeholder process
to explore potential enhancements to affordable housing programs and additional
community benefits required of affordable housing projects funded by the City.",Housing,,,https://www.austintexas.gov/department/city-council/2022/20220901-reg.htm#087,Item,"A final close out memo has been submitted, which provides updates on efforts to
enhance affordable housing programs through the recommendations provided by
Guidehouse, Inc. (see memo for details).",07/17/2025 08:12:04 PM,
Closed,09/01/2022 12:00:00 AM,089,Resolution,"Approve a resolution relating to a creative space bonus and incentive program
for new and existing creative spaces and initiating amendments to City Code.",Economic Development Department,"Economic Development Department,Development Services Department,Planning",,https://www.austintexas.gov/department/city-council/2022/20220901-reg.htm#089,Item,"Final responsive memo sent to Mayor and Council on March 20, 2025",04/03/2025 02:55:30 PM,
Closed,09/15/2022 12:00:00 AM,054,Resolution,"Approve a resolution directing the City Manager to direct the use of Convention
Center funds to restore the interior of the Castleman-Bull House for use as a
Convention Center facility and to ensure that the forthcoming Palm District Plan
proposes to integrate the Castleman-Bull House in a meaningful way",Austin Convention Center,"Austin Convention Center,Planning,Office of Equity and Inclusion",Downtown,https://www.austintexas.gov/department/city-council/2022/20220915-reg.htm#054,Item,"Memo to Mayor and Council sent July 5, 2024.",03/20/2025 06:46:40 PM,
Closed,09/15/2022 12:00:00 AM,052,Resolution,"Approve a resolution directing the City Manager to provide appropriate resources
to vendors who do business with the City and encourage training to ensure
vendors have the skills to recognize indicators of individuals experiencing
homelessness at risk of human trafficking.",Homeless Strategy Office,,"Homelessness,Public Safety,Equity",https://www.austintexas.gov/department/city-council/2022/20220915-reg.htm#052,Item,"Austin Public Heath staff have completed the work directed in Resolution No.
20220915-052 and developed a plan to continue implementing these initiatives to
improve human trafficking education. Details can be found in a memo sent to
Mayor and Council on September 19, 2025.",09/24/2025 04:32:15 PM,
Closed,12/08/2022 12:00:00 AM,067,Resolution,"Approve a resolution directing a review and the development of recommendations
for the prioritization of affordable housing funding and affordable housing
capital and project-based operating subsidies, including policies and procedures
that will prioritize Continuum of Care units and supportive services, and return
to City Council with any necessary action items.",Housing,"Housing,Austin Public Health","Affordable Housing,Homelessness",https://www.austintexas.gov/department/city-council/2022/20221208-reg.htm#067,Item,,,
Closed,09/29/2022 12:00:00 AM,091,Resolution,"Approve a resolution initiating an amendment to the Compromise Settlement
Agreement associated with Josie Ellen Champion, et al v. City of Austin, Cause
No. 94-07160 in the 353rd Judicial District Court of Travis County and
supporting the rezoning of 6025 N. Capital of Texas Highway, Austin, Texas,
78731 (also known as “Champion Tract 4”).",Planning,"Planning,City Attorney",Zoning,https://www.austintexas.gov/department/city-council/2022/20220929-reg.htm#091,Item,"Council approved the rezoning request and amendment to the Settlement Agreement
at its meeting on March 21, 2024, and this item is now completed.",03/20/2025 06:48:05 PM,
